setup,n_all,R_all,n_kept,R_after_veto,delta,kept_ci_lo,kept_ci_hi
breakout_20d,3838,-0.04445591632198999,2668,0.0017346303266424948,0.04619054664863248,-0.11407182698774464,0.10890656614842166
oversold_bounce,4176,0.15253470045621623,2845,0.1969655709340707,0.04443087047785446,0.004876331757452935,0.4363918882000721
high_52w_momo,25548,-0.050354640037170786,12602,-0.02932752554632845,0.021027114490842335,-0.10983907079431443,0.04456692201778034
pullback_uptrend,46133,-0.007680843547509968,28736,0.004938935578404122,0.01261977912591409,-0.10677654205834848,0.1313642241401928
tight_flag,55153,-0.05668707233226554,31859,-0.05112187028905782,0.00556520204320772,-0.14993506100200715,0.058293102146726526
