n,base_rate,brier,logloss,auc,r_mean_all,brier_skill,r_top_decile,r_bot_decile,r_spread,n_top_decile,cal_mae,model,auc_split_mean,auc_split_std,brier_skill_split_mean,brier_skill_split_std,r_top_decile_split_mean,r_top_decile_split_std,r_spread_split_mean,r_spread_split_std,pct_splits_top_positive
312646,0.35416733302201214,0.23088552985359584,0.6971944495296359,0.5175326629981266,0.06150276299391012,-0.018511492694982312,0.18798014444659086,0.060961117516154066,0.1270190269304368,31265,0.031010202058526153,lgbm d5/l31/m400/lr0.02,0.5277688231123163,0.025260961536781604,-0.02139109660376559,0.03527911409620683,0.19685927753898452,0.2072553387408215,0.18076751053026516,0.27463988267943296,0.875
312646,0.35416733302201214,0.23014972494490582,0.6911869899566008,0.5171702660461632,0.06150276299391012,-0.015265616886492417,0.162086846953699,0.03818607728088816,0.12390076967281083,31265,0.028184823997757243,lgbm d4/l15/m400/lr0.05,0.5274286354408325,0.01727058382334184,-0.018615230419396653,0.036359609980286506,0.15709692971284545,0.15202179042208908,0.1394594290645195,0.14796319146374073,0.75
312646,0.35416733302201214,0.23004826092967848,0.6882607762919405,0.5197323510128236,0.06150276299391012,-0.01481802597133397,0.1552543127904565,0.02195653564193975,0.13329777714851676,31265,0.027195524570832665,lgbm d3/l7/m100/lr0.05,0.5300807842818565,0.01915540342068896,-0.01814693948182884,0.034409614869953205,0.17232693033892033,0.1559922931654883,0.1680079515328046,0.19665600891695276,0.875
312646,0.35416733302201214,0.23052842040878732,0.694351946237336,0.5244997080801193,0.06150276299391012,-0.01693616628142136,0.15453601101917233,0.05505947697088902,0.09947653404828331,31265,0.03021704280431802,lgbm d4/l15/m100/lr0.02,0.5314489841335434,0.01734215513899311,-0.020507500710826368,0.04272071018564691,0.19882795784276985,0.07610165939393249,0.1943659366235621,0.11992761090337234,1.0
312646,0.35416733302201214,0.23001520258547217,0.6819343379937084,0.5164025680891369,0.06150276299391012,-0.014672194816280903,0.1522236749094729,0.047934489189189765,0.10428918572028312,31265,0.030186853043312506,lgbm d4/l15/m400/lr0.02,0.5302991987371009,0.021158202529965288,-0.01706464227395492,0.02404261257723358,0.21094961216195773,0.16407198050137475,0.21269051336500083,0.22106891595225342,0.875
312646,0.35416733302201214,0.22966358909381213,0.6705314280855021,0.5165551212673134,0.06150276299391012,-0.013121112847352512,0.14950158973428646,0.06476346199760938,0.08473812773667708,31265,0.02989471442347229,lgbm d4/l15/m100/lr0.05,0.5269302887158486,0.022144073674069467,-0.015026599401183047,0.029149414532394002,0.14229371339937702,0.11617587621774238,0.14006784688478524,0.14350019937530115,0.875
312646,0.35416733302201214,0.22839179137291707,0.6640845709604261,0.5360273889647621,0.06150276299391012,-0.007510797658105917,0.14259406507310235,0.05715842327085502,0.08543564180224733,31265,0.028317866048131773,logit(C=1.0),0.5336601418454573,0.01198525039811011,-0.009863343198967298,0.018661929715108855,0.11273012586958134,0.10618088595540999,0.04629480101093487,0.15399470572620896,0.875
312646,0.35416733302201214,0.22979361179283675,0.6747431996428451,0.5187257012675351,0.06150276299391012,-0.013694685445651666,0.14131554075682304,0.08255523612500834,0.0587603046318147,31265,0.030903933022262603,lgbm d5/l31/m100/lr0.05,0.5270386693978436,0.021772858830337402,-0.015403511436850661,0.022584496781143094,0.16390593670094578,0.169678894827544,0.1317787413278219,0.18530122404031393,0.875
312646,0.35416733302201214,0.22836416346131805,0.6621016294386054,0.5358051867680003,0.06150276299391012,-0.007388921915175484,0.13907116394281346,0.057256687068832544,0.08181447687398091,31265,0.026545234124417616,logit(C=0.005),0.5337434868937145,0.010633319010104307,-0.00990215584406591,0.019127879729473708,0.11162492166112642,0.14431014029224826,0.04779664088967036,0.18286434507227842,0.875
312646,0.35416733302201214,0.2292241015412967,0.6712699861882352,0.5146149475719437,0.06150276299391012,-0.011182389691262173,0.13864333130786177,0.04533344385962075,0.09330988744824102,31265,0.03226568355615482,lgbm d3/l7/m400/lr0.02,0.5274568556144514,0.01636951572018923,-0.013280509911084912,0.023782669368464494,0.17513376093203303,0.09456846362474128,0.1561811404105537,0.15108476930009293,1.0
312646,0.35416733302201214,0.2283274940910303,0.6640491021090569,0.5366835246540276,0.06150276299391012,-0.007227161344508071,0.13775201353501135,0.06433765207188555,0.0734143614631258,31265,0.028561750674684777,logit(C=0.01),0.5336211778526662,0.012238944838443096,-0.009694758177840435,0.018643308214498246,0.11847892506078861,0.16355064246985734,0.051850026498387186,0.21211442285177987,0.875
312646,0.35416733302201214,0.22843032879636824,0.66417065675219,0.5358686723390617,0.06150276299391012,-0.007680798821490864,0.13429957949231253,0.05890241569106714,0.07539716380124539,31265,0.029650552438251886,logit(C=0.2),0.5336960550539573,0.011929661661829955,-0.009984526715182476,0.018682948370548996,0.10822761684600646,0.11101447062441237,0.0431368185605537,0.16245513671710562,0.875
312646,0.35416733302201214,0.23056129972277203,0.697068075334166,0.5173816896800267,0.06150276299391012,-0.017081207675685217,0.1334556881976766,0.013086416697097808,0.12036927150057877,31265,0.027456255900190053,lgbm d3/l7/m400/lr0.05,0.5254743905407692,0.019281289445836847,-0.02133933548895911,0.044232717641474385,0.19071952442596804,0.08854203225091822,0.16595967245932328,0.13995697604295831,1.0
312646,0.35416733302201214,0.2302678023589174,0.7009589370623757,0.5180394697825084,0.06150276299391012,-0.01578649493058082,0.13171517703494035,0.0491805773463391,0.08253459968860125,31265,0.031539262461638164,lgbm d3/l7/m100/lr0.02,0.5304914674367562,0.0187568997272953,-0.019733847453912157,0.03752231523573825,0.19539176678890763,0.13339598566596877,0.18076262036221674,0.17609598768141876,0.875
312646,0.35416733302201214,0.2309285615111717,0.7028809960452267,0.5190412774653029,0.06150276299391012,-0.018701319393166882,0.1308132646578431,0.0631557554032856,0.0676575092545575,31265,0.03303948036330489,lgbm d5/l31/m100/lr0.02,0.5261205209134454,0.022313096447688377,-0.022696726667029446,0.04144053399157209,0.1278883647705779,0.13387079175329408,0.12191094614424759,0.20246669175471796,0.875
312646,0.35416733302201214,0.2283659457278666,0.6616456341994176,0.5359322910061177,0.06150276299391012,-0.007396784075111906,0.1301357144348493,0.06407499383667911,0.0660607205981702,31265,0.029527177731071996,logit(C=0.05),0.5335793816282415,0.01180829887844909,-0.009767003351240616,0.018579261427539764,0.10697465916734436,0.11035024198577502,0.04115921866230497,0.15383996294717225,0.875
312646,0.35416733302201214,0.2263903543543754,0.6450998773364601,0.5247824832752382,0.06150276299391012,0.0013181948152747314,0.11326865653168844,0.017790049510537833,0.0954786070211506,31265,0.010673591774035868,histogram,0.530265188737756,0.012314678521115053,0.0006300924045425094,0.002514827645790176,0.12248322287269872,0.11952470977528433,0.11513642940567431,0.1733111605176568,0.75
312646,0.35416733302201214,0.23045102694393518,0.6900699334822751,0.5155713603466268,0.06150276299391012,-0.016594758426795808,0.1119063530069791,0.08071656210306152,0.031189790903917575,31265,0.0304924309124102,lgbm d5/l31/m400/lr0.05,0.5238086075429624,0.018818744608259053,-0.01925376266073331,0.0321591580957563,0.16122033901133878,0.15455667103473789,0.14422809472117532,0.1932744537379393,0.875
