target_atr,stop_atr,hold,rr,setup,n,win_rate,r_mean,r_ci_lo,r_ci_hi,edge_vs_control
1.0,0.75,20,1.3333333333333333,tight_flag,214638,0.43865485142425853,-0.030824647082720702,-0.057871391144741276,-0.00173519131936733,-0.020703445428393353
1.0,0.75,20,1.3333333333333333,oversold_bounce,14270,0.48093903293622986,0.08886730406380566,0.031295977740350256,0.1499056269130397,0.09898850571813302
1.0,0.75,20,1.3333333333333333,high_52w_momo,102108,0.41616719551847065,-0.08329684660549264,-0.10523842995911672,-0.0594002734745352,-0.07317564495116528
1.0,0.75,20,1.3333333333333333,any_liquid,112903,0.44178631214405284,-0.010121201654327349,-0.033562210946736275,0.013285396692512975,0.0
1.0,1.0,5,1.0,breakout_20d,16238,0.4227121566695406,-0.06220366337821788,-0.08822139281519527,-0.03658319975202484,-0.06154252485086081
1.0,1.0,5,1.0,pullback_uptrend,161215,0.4491951741463263,0.01001560580826834,-0.015065175563131002,0.035576760973426234,0.010676744335625411
1.0,1.0,5,1.0,tight_flag,214638,0.4540528704143721,-0.013921770641929485,-0.0380995578561728,0.011482612386043518,-0.013260632114572414
1.0,1.0,5,1.0,oversold_bounce,14270,0.4806587245970568,0.08006361648242834,0.034039222470898335,0.13134135365491081,0.0807247550097854
1.0,1.0,5,1.0,high_52w_momo,102108,0.4261468249304658,-0.0586275020652404,-0.07757603653076083,-0.03808523355821856,-0.05796636353788333
1.0,1.0,5,1.0,any_liquid,112903,0.43405401096516477,-0.0006611385273570711,-0.020348725720068097,0.018647074293646825,0.0
1.0,1.0,10,1.0,breakout_20d,16238,0.4780761177484912,-0.061600872053135435,-0.0892998310499519,-0.03411468505910639,-0.06888388566876212
1.0,1.0,10,1.0,pullback_uptrend,161215,0.5131098222870081,0.01629674964912082,-0.011248833719175889,0.0437688969078617,0.009013736033494132
1.0,1.0,10,1.0,tight_flag,214638,0.5070071469171349,-0.011441446956321292,-0.03775919425142974,0.01631574161643458,-0.01872446057194798
1.0,1.0,10,1.0,oversold_bounce,14270,0.539593552908199,0.08442602027271533,0.036351065040686255,0.13794651092815044,0.07714300665708865
1.0,1.0,10,1.0,high_52w_momo,102108,0.48096133505699845,-0.056579560569910946,-0.07651234402335029,-0.03524944951498878,-0.06386257418553763
1.0,1.0,10,1.0,any_liquid,112903,0.5050884387483061,0.007283013615626686,-0.0147266687372669,0.029137550961397113,0.0
1.0,1.0,20,1.0,breakout_20d,16238,0.4877447961571622,-0.060900870441880264,-0.08850032693047219,-0.03311986014387431,-0.06898633702741976
1.0,1.0,20,1.0,pullback_uptrend,161215,0.5233818193096176,0.016779885681614932,-0.01117426526569836,0.04452362891045986,0.008694419096075441
1.0,1.0,20,1.0,tight_flag,214638,0.513818615529403,-0.011234465655155746,-0.03787492360221386,0.016882339728756163,-0.01931993224069524
1.0,1.0,20,1.0,oversold_bounce,14270,0.5544498948843728,0.08743636713295955,0.039097909085316004,0.140274161195646,0.07935090054742006
1.0,1.0,20,1.0,high_52w_momo,102108,0.49099972578054607,-0.05637056004127694,-0.07640906420050661,-0.03489022656687103,-0.06445602662681643
1.0,1.0,20,1.0,any_liquid,112903,0.5180553218249294,0.008085466585539491,-0.014351302096603335,0.030568041260664914,0.0
1.0,1.5,5,0.6666666666666666,breakout_20d,16238,0.4608326148540461,-0.03874179814312047,-0.05953938436789809,-0.018310066455532455,-0.04660840016554344
1.0,1.5,5,0.6666666666666666,pullback_uptrend,161215,0.4839810191359365,0.013492427739873783,-0.007317531875687165,0.0350386230443123,0.00562582571745081
1.0,1.5,5,0.6666666666666666,tight_flag,214638,0.4963240432728594,-0.00038541104691046857,-0.021298962127520107,0.021194268241106193,-0.008252013069333443
1.0,1.5,5,0.6666666666666666,oversold_bounce,14270,0.5252277505255781,0.07793545933750239,0.0413986665478033,0.11834264577692126,0.07006885731507942
1.0,1.5,5,0.6666666666666666,high_52w_momo,102108,0.46676068476515065,-0.032003183232421344,-0.04806175826674313,-0.015372716976004045,-0.03986978525484432
1.0,1.5,5,0.6666666666666666,any_liquid,112903,0.4674100776772982,0.007866602022422974,-0.008625410205651472,0.02375635297168733,0.0
1.0,1.5,10,0.6666666666666666,breakout_20d,16238,0.5583199901465697,-0.033707650913636644,-0.05725564988965663,-0.010699758475259846,-0.051758730339916736
1.0,1.5,10,0.6666666666666666,pullback_uptrend,161215,0.590658437490308,0.021580387907753924,-0.003361390780429859,0.045205824929980445,0.003529308481473835
1.0,1.5,10,0.6666666666666666,tight_flag,214638,0.592187776628556,0.004907018407882604,-0.01892561414968547,0.030477115453688523,-0.013144061018397483
1.0,1.5,10,0.6666666666666666,oversold_bounce,14270,0.6170988086895585,0.08419028869228105,0.043341152633541456,0.12821991636446828,0.06613920926600096
1.0,1.5,10,0.6666666666666666,high_52w_momo,102108,0.564059623144122,-0.025321652878438364,-0.043298284315280766,-0.006899116536161564,-0.043372732304718456
1.0,1.5,10,0.6666666666666666,any_liquid,112903,0.5810828764514672,0.01805107942628009,-0.002085556262061163,0.0375044997888344,0.0
1.0,1.5,20,0.6666666666666666,breakout_20d,16238,0.5894814632343884,-0.03470640941262887,-0.05861663608762386,-0.011245406816659049,-0.055396850387534356
1.0,1.5,20,0.6666666666666666,pullback_uptrend,161215,0.6218031820860341,0.024271319988123184,-0.0009106340498702675,0.04831473877018996,0.0035808790132176964
1.0,1.5,20,0.6666666666666666,tight_flag,214638,0.6152871346173557,0.006150150139020133,-0.018635778551575156,0.032698424680285436,-0.014540290835885355
1.0,1.5,20,0.6666666666666666,oversold_bounce,14270,0.6552207428170989,0.09109597421444117,0.048858001868238236,0.13470065065844286,0.07040553323953569
1.0,1.5,20,0.6666666666666666,high_52w_momo,102108,0.5959474282132644,-0.02364086055681091,-0.04236548393120875,-0.0037467213499154522,-0.0443313015317164
1.0,1.5,20,0.6666666666666666,any_liquid,112903,0.6173795204733267,0.020690440974905487,-0.00038987166089956963,0.041361142566571835,0.0
1.5,0.75,5,2.0,breakout_20d,16238,0.2423327996058628,-0.08218670233650845,-0.11739109857034197,-0.046726566656651564,-0.0822147414877174
1.5,0.75,5,2.0,pullback_uptrend,161215,0.2581521570573458,0.01350401442054958,-0.02086912948816513,0.0501372935222409,0.013475975269340619
1.5,0.75,5,2.0,tight_flag,214638,0.2682609789506052,-0.01563421173460199,-0.04853677247510863,0.020449164107123087,-0.01566225088581095
1.5,0.75,5,2.0,oversold_bounce,14270,0.2801681850035039,0.10026387848944325,0.031414511862754825,0.1779455768525467,0.1002358393382343
1.5,0.75,5,2.0,high_52w_momo,102108,0.24368315900810905,-0.08264722167456712,-0.1084629306983198,-0.05568006909218533,-0.08267526082577607
1.5,0.75,5,2.0,any_liquid,112903,0.24772592402327662,2.8039151208961602e-05,-0.02781159716658722,0.027142191201485203,0.0
1.5,0.75,10,2.0,breakout_20d,16238,0.30330089912550806,-0.08355199038948136,-0.12242405143939365,-0.0444969806360636,-0.0947361916526434
1.5,0.75,10,2.0,pullback_uptrend,161215,0.33738796017740286,0.02148671639037861,-0.017381254545555048,0.061746361638611254,0.010302515127216569
1.5,0.75,10,2.0,tight_flag,214638,0.3358445382457906,-0.013909094182562268,-0.050368156774890566,0.026654370685843143,-0.02509329544572431
1.5,0.75,10,2.0,oversold_bounce,14270,0.36103714085494043,0.11542602067179271,0.04170157959330953,0.19769634141888684,0.10424181940863067
1.5,0.75,10,2.0,high_52w_momo,102108,0.3083108081639049,-0.07868202659312998,-0.1067878944031943,-0.0479405002385974,-0.08986622785629202
1.5,0.75,10,2.0,any_liquid,112903,0.3291409439961737,0.011184201263162042,-0.0202275327673711,0.04172554432469807,0.0
1.5,0.75,20,2.0,breakout_20d,16238,0.32159132898140164,-0.08120287128780469,-0.1185182226886986,-0.04212297489035996,-0.09480777856042819
1.5,0.75,20,2.0,pullback_uptrend,161215,0.3559160127779673,0.02239083502542529,-0.017518527565676012,0.06315514111791021,0.008785927752801797
1.5,0.75,20,2.0,tight_flag,214638,0.3485356740185801,-0.012913142876865803,-0.04995283284323904,0.028509565769255053,-0.026518050149489297
1.5,0.75,20,2.0,oversold_bounce,14270,0.38766643307638404,0.12258589446214714,0.047104530504257267,0.208120660823617,0.10898098718952365
1.5,0.75,20,2.0,high_52w_momo,102108,0.32577271124691504,-0.07681883612240809,-0.10596417398218497,-0.04525380809741073,-0.09042374339503158
1.5,0.75,20,2.0,any_liquid,112903,0.3512307024614049,0.013604907272623494,-0.019085067748380466,0.045224708518879914,0.0
1.5,1.0,5,1.5,breakout_20d,16238,0.268998645153344,-0.06286626499447114,-0.09379443499055834,-0.03168210282159136,-0.07361852783980612
1.5,1.0,5,1.5,pullback_uptrend,161215,0.28319325124833294,0.023089261261061967,-0.008391159392497332,0.055545501644302844,0.012336998415726991
1.5,1.0,5,1.5,tight_flag,214638,0.2971608009765279,-0.0013708027232027609,-0.0312890659231704,0.03048066472271791,-0.012123065568537737
1.5,1.0,5,1.5,oversold_bounce,14270,0.3042046250875964,0.08613169093983468,0.02853679776904719,0.1503735798342898,0.0753794280944997
1.5,1.0,5,1.5,high_52w_momo,102108,0.26956751674697377,-0.06047935622934351,-0.08352889130424847,-0.03594402324087875,-0.07123161907467848
1.5,1.0,5,1.5,any_liquid,112903,0.27116197089537036,0.010752262845334976,-0.013568800307108565,0.03416595112729488,0.0
1.5,1.0,10,1.5,breakout_20d,16238,0.3560783347702919,-0.06206900384160622,-0.09655054129731994,-0.026331561549606895,-0.08842662565372174
1.5,1.0,10,1.5,pullback_uptrend,161215,0.39179356759606737,0.03370180129298572,-0.0029647462099704897,0.070803893180014,0.007344179480870204
1.5,1.0,10,1.5,tight_flag,214638,0.39346714002180416,0.003781078794217474,-0.03126771691794935,0.04121633054868791,-0.022576543017898045
1.5,1.0,10,1.5,oversold_bounce,14270,0.4096005606166783,0.10254949938311761,0.03957339086479581,0.1735667093580843,0.0761918775710021
1.5,1.0,10,1.5,high_52w_momo,102108,0.36094135621107065,-0.05424779549429927,-0.08056631674066027,-0.025513145293066006,-0.0806054173064148
1.5,1.0,10,1.5,any_liquid,112903,0.38208019273181404,0.02635762181211552,-0.0030627836004616525,0.05497747535599839,0.0
1.5,1.0,20,1.5,breakout_20d,16238,0.3870550560413844,-0.061630272272032556,-0.0975184093860226,-0.025386582613701622,-0.09294619444448676
1.5,1.0,20,1.5,pullback_uptrend,161215,0.42554352882796265,0.03644805530741499,-0.002151050680605059,0.07548553587155482,0.00513213313496079
1.5,1.0,20,1.5,tight_flag,214638,0.41821112757293677,0.005869089841063058,-0.0295226312603413,0.04509542835925838,-0.025446832331391143
1.5,1.0,20,1.5,oversold_bounce,14270,0.4529081990189208,0.11280332272597655,0.04566558747231467,0.18684237251975128,0.08148740055352235
1.5,1.0,20,1.5,high_52w_momo,102108,0.3928487483840639,-0.05144621958686188,-0.0791531838424559,-0.021510172519300656,-0.08276214175931608
1.5,1.0,20,1.5,any_liquid,112903,0.42080369875025464,0.0313159221724542,-0.00023244755944187674,0.06163356159819518,0.0
1.5,1.5,5,1.0,breakout_20d,16238,0.2923389579997537,-0.03901400863947637,-0.06420271622128312,-0.013647292476221774,-0.05464343024523309
1.5,1.5,5,1.0,pullback_uptrend,161215,0.3021803182086034,0.02188571315394638,-0.00380253064170182,0.047694554324808784,0.0062562915481896575
1.5,1.5,5,1.0,tight_flag,214638,0.3221703519414083,0.007971029132207161,-0.017771599541901727,0.034645993667292284,-0.007658392473549562
1.5,1.5,5,1.0,oversold_bounce,14270,0.3325157673440785,0.08358214050307045,0.03947436058871588,0.13363036946049722,0.06795271889731372
1.5,1.5,5,1.0,high_52w_momo,102108,0.29347357699690524,-0.03296096609717233,-0.05226732928168846,-0.01249043199606396,-0.04859038770292905
1.5,1.5,5,1.0,any_liquid,112903,0.2898594368617309,0.015629421605756724,-0.0036040701508035667,0.03465896799073198,0.0
1.5,1.5,10,1.0,breakout_20d,16238,0.4153836679394014,-0.03579646205269486,-0.06682119086728044,-0.005243695552553994,-0.068413866094028
1.5,1.5,10,1.0,pullback_uptrend,161215,0.4504481592903886,0.03471392738201168,0.0021565285093945253,0.06647434746713485,0.002096523340678544
1.5,1.5,10,1.0,tight_flag,214638,0.4622434051752253,0.01864519677364775,-0.012669546982101654,0.053154328854979,-0.013972207267685385
1.5,1.5,10,1.0,oversold_bounce,14270,0.47049754730203225,0.10147367875961573,0.04796456694427165,0.16002070635351573,0.0688562747182826
1.5,1.5,10,1.0,high_52w_momo,102108,0.4237865789164414,-0.02172252522039032,-0.04599044706488424,0.0032609990510406328,-0.05433992926172346
1.5,1.5,10,1.0,any_liquid,112903,0.4385268770537541,0.032617404041333134,0.0071136161942062974,0.0580761697169436,0.0
1.5,1.5,20,1.0,breakout_20d,16238,0.4801699716713881,-0.03459168603403543,-0.06783273699475656,-0.0026988794336280913,-0.07695974339150345
1.5,1.5,20,1.0,pullback_uptrend,161215,0.5195112117358807,0.04259735315062454,0.008127316241784668,0.07624594869168469,0.00022929579315651705
1.5,1.5,20,1.0,tight_flag,214638,0.5170659435887401,0.02368043610085073,-0.011232444196917898,0.06085989751483156,-0.01868762125661729
1.5,1.5,20,1.0,oversold_bounce,14270,0.5473721093202523,0.1154212657749248,0.05824615136304111,0.17806678373393028,0.07305320841745677
1.5,1.5,20,1.0,high_52w_momo,102108,0.4917930034865045,-0.014157532470370533,-0.04080599361683352,0.013428177145750201,-0.056525589827838556
1.5,1.5,20,1.0,any_liquid,112903,0.514574457720344,0.04236805735746802,0.013129581547342426,0.0702025257515467,0.0
2.0,0.75,5,2.6666666666666665,breakout_20d,16238,0.1516812415322084,-0.0830052592444588,-0.12286535015493084,-0.041164358246161895,-0.08793021639061946
2.0,0.75,5,2.6666666666666665,pullback_uptrend,161215,0.1535899264956735,0.021648055616300666,-0.017248040607192282,0.06327688894442479,0.016723098470140002
2.0,0.75,5,2.6666666666666665,tight_flag,214638,0.16729563264659567,-0.00783297176696948,-0.045288403516629584,0.03268438133360519,-0.012757928913130146
2.0,0.75,5,2.6666666666666665,oversold_bounce,14270,0.16299929922915207,0.09915069902893354,0.022649423243355483,0.18688633412956251,0.09422574188277288
2.0,0.75,5,2.6666666666666665,high_52w_momo,102108,0.1482352019430407,-0.08708818182133937,-0.11595984611010118,-0.056198887491310856,-0.09201313896750003
2.0,0.75,5,2.6666666666666665,any_liquid,112903,0.14623172103487064,0.004924957146160665,-0.025963284655147252,0.03481225017287713,0.0
