veto_worst,n_kept,mean_R,ci_lo,ci_hi,total_R
0%,134848,-0.03189442703730864,-0.10607397028230382,0.042986959197500244,-4300.899697126995
10%,120732,-0.01957823593716036,-0.09789686192594052,0.06417300343215877,-2363.7195811652446
20%,95501,-0.013818882462251164,-0.09792479359390352,0.07649191841714618,-1319.7170940274484
30%,80644,-0.01555936022591541,-0.10585239553674788,0.08100280784148194,-1254.7690460587223
40%,80644,-0.01555936022591541,-0.10585239553674788,0.08100280784148194,-1254.7690460587223
50%,63470,-0.021114058161891977,-0.11460428702427128,0.08164458032945088,-1340.1092715352838
