variant,n,R_top_decile,top_ci_lo,top_ci_hi,R_bot_decile,bot_ci_lo,bot_ci_hi,spread,monotone_deciles
A logit P(win),325145,0.061351996418732166,-0.016157602405571975,0.13863269519278548,0.0001486470798585213,-0.06131962074761589,0.06189259965687093,0.06120334933887364,4
B logit P(r>0),325145,0.05455005915981472,-0.03137023484308098,0.1432515110151956,0.029540592335227572,-0.04726448764090207,0.10000568704838568,0.02500946682458715,4
C ridge E[R],325145,0.05110604337571678,-0.05343487620554189,0.1519668275941387,0.03473473312088928,-0.07139928724046915,0.14128484482093426,0.0163713102548275,7
D lgbm E[R],325145,0.0999929092958433,-0.025345009806932762,0.22593030177416984,0.027035214239891,-0.07511845517116432,0.11730545765261358,0.0729576950559523,5
