year,any_liquid_reversion,any_liquid_trend,connors_rsi2,darvas_box,minervini_vcp,oneil_breakout,pullback_3day,rs_pullback_50ma,weinstein_stage2
1999,-0.12865540948102205,-0.19015631595277036,0.0009197608803990105,-0.21980582108676205,-0.28458232687156254,-0.43847924369609376,0.013481601738752692,0.036774210363905296,-0.0571931930958056
2000,0.005519812183923532,0.0029514882102209703,0.1295902853065678,-0.17367034644697954,-0.3163799850326547,-0.018622169919207433,0.09210442420833702,0.11135119765359013,-0.05141076413131526
2001,-0.016375910635371322,-0.13237912247757325,-0.057702662365381394,-0.49368774393246223,-0.4782610252664331,,-0.045562883821784785,-0.20678876783569758,
2002,-0.12926949763793855,-0.37247998834829105,-0.03401981998021314,-0.43780972557016773,-0.25063577461472236,-0.5378246222822956,-0.03434124478456562,-0.11817567457352761,0.27663956987091737
2003,0.07595161827201806,0.4945780740054245,0.24674632293808363,-0.1059688159076763,-0.053207437572368566,0.5171706191932102,0.23246110126557967,0.1601607091357701,0.6385206144476553
2004,0.025080418235183515,0.16976193061724143,0.0455230887555466,0.04967985736903646,-0.018136715086930846,0.17814039715482244,0.06553778358727187,-0.010067541632346086,0.04332430148110904
2005,0.03716154178540118,0.22590950898663775,0.09291765710733389,0.1487898838369592,0.09090139374520224,0.20685632805256846,0.022071083723318913,-0.050481667491893076,0.5167684852767448
2006,0.03031039895530561,0.2855255449696792,0.1094410979318122,0.14548379770826644,-0.024149345505070054,0.09688575424763149,0.1004363847998041,0.03793329611531761,0.014365880540510472
2007,-0.001184858842425786,-0.03665174553293647,0.08186034178681642,-0.133947348524922,-0.041788853240548776,0.043495922813765485,0.07828249552148603,0.044764193141247945,-0.20857170072085615
2008,-0.11888107314002108,-0.36417374618575277,-0.1690073949586885,-0.5045456158870962,-0.5359989398238033,-0.7226546562731274,-0.06760415526623999,-0.13797787076083584,-0.6488899564859282
2009,0.08077008004226974,0.2554704993705032,0.2073889034002286,-0.2566913442818595,-0.2894836077082911,-0.19519464144104026,0.17134399541517076,0.34765100816604233,0.643680988986732
2010,0.09850422208597012,0.5904417253541584,0.0611141382661463,0.41736851067437436,0.31226827688817393,0.5667817711130306,0.07403925496503638,-0.0965296554993392,0.6759924147920239
2011,-0.023453482459521894,-0.05478072956423885,0.02788345366165357,-0.25955443493357305,-0.3286692726644014,-0.40415848272929,0.06065599968922909,0.08423766090181403,-0.18095470485370338
2012,0.07692665984166736,0.34358375618618936,0.18579976250007438,0.101397445586271,0.04303276346975383,0.30727961797081793,0.16771318483925873,-0.004160729410550137,0.6295245486938249
2013,0.13220454612713883,0.37530414097289694,0.12941201247331524,0.22845742438306094,0.15815045613972162,0.10994267506306638,0.14901777919585202,0.286610388290326,0.772363466270553
2014,0.05851797118131638,0.057556632298756204,0.042257468740909236,-0.1366440737899173,-0.290913815405242,-0.1487383288498689,0.06390283838528193,-0.0016322714182323281,-0.009994564741297177
2015,-0.08578185800435749,-0.20900436558611438,0.0013060398638950978,-0.2878693903742135,-0.23763946546761902,-0.38577215752967164,-0.007163361594935313,0.024968151404246422,-0.22988691551653853
2016,0.048827555936185686,0.23424778887280567,0.05403161958943809,0.21312739146357051,0.025839067147035565,-0.28596611258098575,0.0268350929675325,0.10796826355903444,0.5682345355852062
2017,0.10223566983471248,0.3841166509981271,0.13795895726618598,0.2071328583508688,0.17804777490196105,0.18452819464412062,0.13310607948853415,0.029422678964182446,0.2999593958388021
2018,-0.06068155794330988,-0.12380096840656103,-0.11255910514212938,-0.19854303094637069,-0.2492918999056603,-0.20963957935253694,-0.12834998231994563,0.08868209610188169,0.03557105411314944
2019,0.07449008654806419,0.33015036285784705,0.1414911958132587,0.10106216691714467,0.04283120647312746,0.06235522081789607,0.11629090811710234,0.14727330225555865,0.390318052771132
2020,0.07392181597988125,0.23066401060246766,0.016582599395195654,0.04949946954392214,0.1586889837692866,0.050298223591794165,0.0911350699898586,0.024374865445179437,0.260592810999108
2021,-0.016585898514364143,0.03501707707062143,0.16199080587716724,-0.154262968123463,-0.1962716320816557,-0.18767178489200656,0.0546807440529463,-0.02003529051633134,0.027574097870182862
2022,-0.029908503641873717,-0.17618201815933895,-0.17079701403036388,-0.39419850755241886,-0.4347791775670764,-0.6443064523280191,-0.16270381625227306,-0.12014680619471889,-0.6228627860013835
2023,0.020200147474833882,0.15400173786963772,0.01997721821863844,0.009123196583178478,-0.002235260303122181,0.20691814439318065,0.019008724649745744,0.010032117652679303,0.30502219499103406
2024,0.01924955824882785,0.07067134917310261,0.10481259861774843,0.07720089881801631,0.10074120203179678,0.21303524548249375,0.053157816545905685,0.177300927538102,0.6737284738190621
2025,0.026370202647866332,0.05786723258668453,0.044622959894553345,-0.16902947045523403,-0.10899913515882663,0.28604618827111145,0.05020718852524241,-0.033402644844735215,0.12087542387539656
