exit,setup,n,R,edge,lo,hi,months_pos,hold,clears
bracket_1.5R_3d,pullback_3day,118328,0.03256128138489813,0.04965391448935649,0.026852940775253478,0.07271774811657193,0.6461538461538462,2.4845683185721046,True
bracket_1.5R_3d,rs_pullback_50ma,19142,0.013832914318718843,0.052544686043094445,0.025069031611154313,0.08103127173897319,0.5953307392996109,2.492163828231115,True
bracket_1.5R_3d,connors_rsi2_strict,35217,0.04622209183632475,0.11377956803661035,0.08198523242762162,0.14482577662481014,0.6846153846153846,2.426129426129426,True
bracket_1.5R_3d,cum_rsi,126979,0.04476498952469342,0.0795477199002201,0.0542446576757752,0.10498543665014569,0.6615384615384615,2.4818592050654047,True
bracket_1.5R_3d,ibs_low,241491,-0.0026292483898848703,0.0048268684925770865,-0.01369373256563651,0.02437888110056227,0.55,2.4810862516615524,False
bracket_1.5R_3d,bb_lower,103516,0.03171134558992526,0.0817359342512462,0.055463606625120204,0.1081274522096768,0.667953667953668,2.4300108195834462,True
bracket_1.5R_3d,idio_drop,88315,-0.022055382166332037,-0.03188974827033919,-0.05483326281619808,-0.007762017568964624,0.42857142857142855,2.5159825624186154,False
bracket_1.5R_3d,market_drop,38797,0.07726793446997074,0.20747198029384245,0.15841513860392753,0.25640585267158267,0.7248908296943232,2.3903652344253423,True
bracket_1.5R_3d,down_5days,136586,0.04167259700660131,0.09916436661748498,0.0745437006356,0.12346865890717759,0.7384615384615385,2.4642423088749945,True
signal_sma5,connors_rsi2,102110,0.032421686954004825,0.09193717967979878,0.06685862460020746,0.11654051615401412,0.7269230769230769,2.403985897561453,True
signal_sma5,pullback_3day,118328,0.028498246365351358,0.05558628334213038,0.03297667997174324,0.0780799201575821,0.6461538461538462,2.3399026434994252,True
signal_sma5,rs_pullback_50ma,19142,-0.0013250468639329726,0.040473399773062683,0.020138210813736124,0.061821547145854194,0.5758754863813229,1.6574025702643402,True
signal_sma5,connors_rsi2_strict,35217,0.046593008789850586,0.13381615961727883,0.10292330710522211,0.1645516377450003,0.7230769230769231,2.409319362807735,True
signal_sma5,cum_rsi,126979,0.03563510752114471,0.08036590785571485,0.05647269720104763,0.1037653343287338,0.7038461538461539,2.2543727703006007,True
signal_sma5,ibs_low,241491,0.003479708136192065,0.018197251986641193,0.0010731032565303139,0.03532601410878974,0.5961538461538461,2.1623455946598424,True
signal_sma5,bb_lower,103516,0.03494896887957379,0.09159020388476745,0.06567073567391103,0.11650700285135232,0.6911196911196911,2.3952625681054136,True
signal_sma5,idio_drop,88315,-0.024920323134939196,-0.026353840213683647,-0.04947557843899221,-0.0029724627488490547,0.44787644787644787,2.3335899903753607,False
signal_sma5,market_drop,38797,0.06113412587562423,0.2100306144123681,0.16751454992729958,0.25437159945710475,0.7467248908296943,2.240998015310462,True
signal_sma5,down_5days,136586,0.04065416461993713,0.1034217278110231,0.07986448437983101,0.12681834925593513,0.7461538461538462,2.2583500505176226,True
signal_sma5_wide,connors_rsi2,102110,0.03703734599967017,0.0660771744638178,0.048947607442162124,0.08242812313454674,0.7346153846153847,3.156566447948291,True
signal_sma5_wide,pullback_3day,118328,0.03312154697871064,0.03944016362264812,0.023190524885364893,0.0556042973773611,0.7115384615384616,3.064777567439659,True
signal_sma5_wide,rs_pullback_50ma,19142,0.0016833524959331747,0.015975192900507054,0.003962780228519153,0.02928022829015734,0.5447470817120622,2.1202591160798243,True
signal_sma5_wide,connors_rsi2_strict,35217,0.047142595329229944,0.09043901253410526,0.07039024546987596,0.10976730820361688,0.7461538461538462,3.154868387426527,True
signal_sma5_wide,cum_rsi,126979,0.03806863556569276,0.05646375377279642,0.03976469169654097,0.07211137667334927,0.7038461538461539,2.9455973034911285,True
signal_sma5_wide,ibs_low,241491,0.019793143360858398,0.019849734290397894,0.008594249107824957,0.030676985452997567,0.6653846153846154,2.8694154233491105,True
signal_sma5_wide,bb_lower,103516,0.04036524012008019,0.06671986539424445,0.04845198305026967,0.08403436691748879,0.7181467181467182,3.1494937980602034,True
signal_sma5_wide,idio_drop,88315,-0.0019259908108718235,-0.016045767962643395,-0.03331644125758392,0.00071375009661612,0.4826254826254826,3.0953631885863104,False
signal_sma5_wide,market_drop,38797,0.06149221367569017,0.1330444328987455,0.1071063383616423,0.15818307394170167,0.7947598253275109,2.9174420702631645,True
signal_sma5_wide,down_5days,136586,0.042775590681680346,0.07254214989044218,0.05719035377641402,0.08768513973101866,0.7692307692307693,2.9527770049639055,True
signal_sma5_fast,connors_rsi2,102110,0.031049999180939484,0.09040817750373324,0.06565168037390076,0.11506860414741388,0.7192307692307692,2.366281461169327,True
signal_sma5_fast,pullback_3day,118328,0.02709713218912717,0.054393698882552674,0.031599307058177636,0.0771247163555978,0.6576923076923077,2.308819552430532,True
signal_sma5_fast,rs_pullback_50ma,19142,-0.001290391071708858,0.041016312952876825,0.020400739368301633,0.06234591632818995,0.5642023346303502,1.6468498589489082,True
signal_sma5_fast,connors_rsi2_strict,35217,0.0451152803887655,0.13140890458034746,0.10007374223068863,0.16244870041572118,0.7192307692307692,2.370304114490161,True
signal_sma5_fast,cum_rsi,126979,0.034763853558141315,0.07958665978806884,0.05594531989153255,0.10292467925522525,0.7,2.2253994755038233,True
signal_sma5_fast,ibs_low,241491,0.002320630199214328,0.01741965147209184,0.0004918824934812859,0.03438788810901565,0.5923076923076923,2.133437685048304,True
signal_sma5_fast,bb_lower,103516,0.032497928370192955,0.0898403837035228,0.0636308703079298,0.114684221724853,0.6911196911196911,2.356031917771166,True
signal_sma5_fast,idio_drop,88315,-0.026123377391896994,-0.027205421837692593,-0.05009692231896487,-0.003973449590096589,0.42857142857142855,2.289905452074959,False
signal_sma5_fast,market_drop,38797,0.05912153609911763,0.20692628168282015,0.16466862956984346,0.2514869456871614,0.7467248908296943,2.2190633296388897,True
signal_sma5_fast,down_5days,136586,0.039524559130551466,0.10296613925729053,0.0794834225221266,0.12627473588491855,0.7461538461538462,2.2278344779113524,True
bracket_2.0R_15d,connors_rsi2,102110,0.09594538386469688,0.12901473568931632,0.09100891121140085,0.16681078569624477,0.7076923076923077,5.266232494368818,True
bracket_2.0R_15d,pullback_3day,118328,0.1018428079995862,0.08864750084555781,0.055892330729395576,0.12186499559081179,0.6538461538461539,5.357835846122642,True
bracket_2.0R_15d,rs_pullback_50ma,19142,0.08254195500081145,0.07797813791921243,0.03820379929241095,0.11920612308883562,0.5836575875486382,5.340873471946505,True
bracket_2.0R_15d,connors_rsi2_strict,35217,0.09328167388623963,0.15979358805409083,0.10916951474843925,0.20979539758601332,0.6884615384615385,5.216685123661867,True
bracket_2.0R_15d,cum_rsi,126979,0.09864412627286089,0.12160215251201768,0.08484333697239753,0.1577797672408512,0.7076923076923077,5.38470140731932,True
bracket_2.0R_15d,ibs_low,241491,0.07370679577437297,0.030094896454977964,0.0054416092815989464,0.05457887101866127,0.5576923076923077,5.396631758533444,True
