setup,n,win_rate,target_rate,stop_rate,timeout_rate,r_mean,r_median,r_ci_lo,r_ci_hi,r_p05,r_p95,hold_days,control,edge_win,edge_r,ci_clears_zero,beats_control
weinstein_stage2,30619.0,0.3454717658969921,0.0,0.9383062804141219,0.06169371958587805,0.1745734081919992,-0.8849379124580089,0.15242759227188837,0.19737110082059836,-1.0622896911032225,4.422366687253653,17.770044743459945,any_liquid_trend,0.009429645149653776,0.0688916484223506,True,True
connors_rsi2,147514.0,0.4620985126835419,0.364738262131052,0.4882858576135147,0.14697588025543337,0.06430438850454545,-0.5386964771343145,0.057683109002668584,0.0706404426810598,-1.0650384815779137,1.4864466985017373,3.7187521184429952,any_liquid_reversion,0.015005077456748228,0.043789424963695645,True,True
pullback_3day,169320.0,0.4575360264587763,0.3595440585872903,0.49243444365698086,0.1480214977557288,0.05443744296592631,-0.6344866974835643,0.04822272661381261,0.06033402538241026,-1.0667809221533497,1.4858392433648366,3.766979683439641,any_liquid_reversion,0.0104425912319826,0.03392247942507651,True,True
rs_pullback_50ma,28124.0,0.4493315317877969,0.3497368795334945,0.4997866590812118,0.1504764613852937,0.03713176965030106,-0.9407260316543176,0.023635474604433465,0.05172879439485442,-1.0577465996236093,1.486486450069034,3.7959394111790643,any_liquid_reversion,0.002238096561003211,0.016616806109451255,True,True
oneil_breakout,6041.0,0.3208078132759477,0.0,0.9675550405561993,0.03244495944380069,0.06531191912683465,-1.0093062366473478,0.01717981539576388,0.11186500675901494,-1.1098331135272654,4.044227587505733,15.020195331898693,any_liquid_trend,-0.015234307471390596,-0.04036984064281396,True,False
darvas_box,35865.0,0.30455876202425763,0.0,0.969998605883173,0.03000139411682699,-0.017444034561478482,-1.0114928094817845,-0.03674501660932487,0.0013425451576194465,-1.0833326635586642,3.7752942197158283,14.829220688693713,any_liquid_trend,-0.03148335872308067,-0.1231257943311271,False,False
minervini_vcp,31547.0,0.29765112372016356,0.0,0.980283386692871,0.019716613307129045,-0.04712539587994902,-1.0122200594605972,-0.06704123113006794,-0.026898472745985814,-1.0983965515675367,3.692688250938978,13.261546264304055,any_liquid_trend,-0.038390997027174745,-0.15280715564959763,False,False
any_liquid_trend,111489.0,0.3360421207473383,0.0,0.949537622545722,0.050462377454278,0.10568175976964861,-0.9147923759794488,0.09422484235073063,0.11656748601115119,-1.076624900736277,4.107676719519921,17.27995587008584,any_liquid,,,True,False
any_liquid_reversion,111489.0,0.4470934352267937,0.3341136793764407,0.49401286225546914,0.17187345836809012,0.020514963540849803,-0.7062230877335993,0.013120435262167478,0.027865579655403,-1.0666109584538428,1.486896705291175,3.94183282655688,any_liquid,,,True,False
